name,barcode,category,min_stock,unit_name,price,stock
Energen Coklat,,,,,,
Teh,,,,,,
Coki-coki,,,,,,
POCARI SWEAT 500 ML,,,,,,
SPRITE 390 ML,,,,,,
FITRI BTL 400 ML,,,,,,
DUOSUS COKLAT,,,,,,
GERY SALUT WAFER COKLAT,,,,,,
SUPERSTAR,,,,,,
NABATI PINK LAVA,,,,,,
NABATI KEJU,,,,,,
GERY MALKIST SALUT COKLAT,,,,,,
GERY MALKIST KEJU RTG,,,,,,
MARI REGAL 250 GR,,,,,,
GANGSAR 210G (BESAR),,,,,,
BABOL SAK BIRU ANEKA BUAH,,,,,,
GERY SEREAL BANTAL COKLAT,,,,,,
KINO CANDY MANGGA,,,,,,
KECAP MANIS 60 ML,,,,,,
KIRANTI JUICE LYCHEE,,,,,,
KIRANTI JUICE BERRY,,,,,,
KIRANTI DATANG BULAN,,,,,,
ROYCO AYAM RTG,,,,,,
ROYCO SAPI RTG,,,,,,
KIRANTI JUICE ORANGE,,,,,,
KISPRAY BLUIS 280 ML,,,,,,
KISPRAY SEGERIS 280 ML,,,,,,
KISPRAY VIOLET 280 ML,,,,,,
SOKLIN LIQ B HIJAB COOL,,,,,,
SAMPO LIFEBUOY MENTOL RTG,,,,,,
SUNSILK COND SILKY SMOOTH,,,,,,
SAMPO LIFEBUOY BIRU RTG NEW,,,,,,
WIPOL REFILL 5000,,,,,,
KISPRAY SAPPHIRE REFF 200,,,,,,
KISPRAY FINE GOLD 280 ML,,,,,,
CIKI JAGUAR 2000-AN,,,,,,
MILK LIFE BLUEBERRY,,,,,,
MILK LIFE MANGO,,,,,,
TEH PUCUK HARUM 350 ML,,,,,,
CIMORY YOGURT STROBERRY,,,,,,
INDOMILK KIDS COKLAT UHT,,,,,,
HA HA MIE,,,,,,
KREZO MIE ALL RASA,,,,,,
CIMORY BLUEBERRY 125 ML,,,,,,
GORIORIO COKLAT,,,,,,
SUKI 20GR RTG,,,,,,
JOLLY REFIL 250-2,,,,,,
KECAP EXTRA 300 ML,,,,,,
MAMYPOKO L 1 RTG,,,,,,
CENGKEH 6000-AN,,,,,,
CENGKEH 1000-AN,,,,,,
SEK PAGUPON,,,,,,
MITU BABY BIRU,,,,,,
MITU BABY BELI 1 DPT 1,,,,,,
SAMBAL ULEG SAMBAL KEMIRI,,,,,,
AJINOMOTO 1000-AN,,,,,,
KOBE PISANG GORENG 75 GR,,,,,,
DAPUR KITA T BAKWAN RTG,,,,,,
MENTEGA PALMIA 200 GR,,,,,,
BANGKOK 135 ML,,,,,,
INDOFOOD PEDAS MNS 135 ML,,,,,,
SUMBO CAIR RAJAWALI,,,,,,
RAWON PEDAS MERCON,,,,,,
AMANDA POTONG,,,,,,
SARIMI GELAS KARE,,,,,,
VANILI CEPUK,,,,,,
PEPSODENT 75G,,,,,,
NYEMEK JOGJA,,,,,,
CHARM NIGHT 29CM 5P,,,,,,
CHARM NIGHT 29CM 9P,,,,,,
BAGUS TOILET ISI 5,,,,,,
LAURIER D. SIRIH 22CM 5P,,,,,,
SABUN LIFEBUOY BIRU (4X100G),,,,,,
LIFEBUOY MERAH (4X110G),,,,,,
LUX ORCHID BANDED 3X110G,,,,,,
LUX VELVET BANDED (3X100G),,,,,,
NUVO ALL 80G,,,,,,
YA 120-GR,,,,,,
JASJUS JERUK,,,,,,
JASJUS SIRSAK,,,,,,
JASJUS JERUK PERAS,,,,,,
JASJUS MANGGA,,,,,,
JASJUS STROWBERRY,,,,,,
JASJUS MELON,,,,,,
MILO RENT,,,,,,
TOP AVOCADO RTG,,,,,,
ENERGEN KACANG IJO,,,,,,
YA SUSU 28G,,,,,,
YA 60 GR RTG,,,,,,
BENDERA SASET PUTIH RTG,,,,,,
BENDERA COKLAT RTG,,,,,,
ZEN SANDALWOOD MERAH 70G,,,,,,
GIV ALL WARNA,,,,,,
SHINZUI BESAR ALL,,,,,,
TIGA SAPI 500G,,,,,,
CARNATION BESAR,,,,,,
GARAM HALUS DUA SEGITIGA,,,,,,
EKOMIE ISI 6,,,,,,
SOKLIN ALL 5000-AN UNGU,,,,,,
PROMAG,,,,,,
BODREXIN 20 TABLET,,,,,,
KOYO CABE,,,,,,
BATERAI ABC BESAR,,,,,,
GULA SETENGAH KILO,,,,,,
SURYA,,,,,,
SUKUN,,,,,,
TALIROSO 16,,,,,,
TALIROSO 12,,,,,,
ANDALAN BARU KUNING,,,,,,
ANDALAN HITAM (FILTER),,,,,,
RAPTOR KRETEK,,,,,,
RAPTOR FILTER,,,,,,
TELUR SETENGAH KILO,,,,,,
TELUR SEKILO,,,,,,
TERIGU,,,,,,
TERIGU 1 KILO,,,,,,
DJARUM SUPER,,,,,,
DJARUM SUPER KRETEK,,,,,,
DJARUM 76 APEL,,,,,,
KIKO,,,,,,
POP MIE BESAR,,,,,,
POP MIE KECIL,,,,,,
ROMA,,,,,,
NABATI BESAR,,,,,,
NABATI KECIL,,,,,,
WAFELLO,,,,,,
SALONPAS,,,,,,
TOLAK ANGIN,,,,,,
ANTANGIN,,,,,,
AQUA BESAR,,,,,,
AQUVIVA BESAR,,,,,,
ROTI SISIR,,,,,,
AOKA KOTAK,,,,,,
TAIKO,,,,,,
MODIS,,,,,,
WARUNG KOPI JAMBU,,,,,,
WARUNG KOPI,,,,,,
SHOOT,,,,,,
DJARUM SUPER ESPRESSO GOLD,,,,,,
SAMPOERNA HITAM,,,,,,
KAPAL API,,,,,,
TOP COFFE,,,,,,
DANCOW,,,,,,
GOOD DAY CAPPUCINO,,,,,,
SIDOMUNCUL SUSU JAHE,,,,,,
BONCABE,,,,,,
SAORI,,,,,,
COCOMAXI,,,,,,
SUNSILK KONDISIONER,,,,,,
PANTENE KONDISIONER,,,,,,
SCOTH BRITE,,,,,,
NUTRIJELL,,,,,,
BIHUN JAGUNG PADAMU,,,,,,
MINYAK KITA,,,,,,
RIZKI,,,,,,
TEPUNG BERAS PUTIH,,,,,,
DRINK BENG BENG,,,,,,
WHITE KOFFIE,,,,,,
ISOPLUS,,,,,,
BEAR BRAND,,,,,,
LARUTAN CAP KAKI TIGA,,,,,,
YOU C1000,,,,,,
HEMAVITON,,,,,,
AQUA GALON,,,,,,
CLUB,,,,,,
BATERAI ABC JAM,,,,,,
BATERAI ABC REMOT,,,,,,
DOWNY,,,,,,
WINGS 145 GR,,,,,,
JAZZ SOFTENER BESAR,,,,,,
MAMA LIME GREEN TEA BESAR,,,,,,
MAMALIME CHARCOAL BESAR,,,,,,
EKONOMI BESAR,,,,,,
PEPSODENT SIKAT GIGI 5 STAR,,,,,,
PEPSODENT SIKAT GIGI SUPER MURAH,,,,,,
NUVO SABUN CAIR 400 GR,,,,,,
DOWNY BESAR 1 PAK (6),,,,,,
DOWNY BESAR MERAH 1 PAK (7),,,,,,
